id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Date
71142,Female,Loyal Customer,26,Business travel,Business,2123,3,3,3.0,3,4,4,4,4,5,3.0,4.0,5,4,4,49,51.0,satisfied,2022-10-02
127461,Male,Loyal Customer,41,Business travel,Business,2075,4,4,2.0,4,4,4,4,5,5,,5.0,3,5,5,0,10.0,satisfied,2022-10-10
70354,Female,Loyal Customer,45,Business travel,Business,2486,4,4,4.0,4,3,4,5,5,5,5.0,5.0,3,5,4,7,5.0,satisfied,2022-10-03
66246,Male,Loyal Customer,38,Personal Travel,Eco,460,2,3,3.0,2,5,3,5,5,1,2.0,4.0,3,2,5,17,18.0,neutral or dissatisfied,2022-10-31
39076,Male,Loyal Customer,9,Business travel,Eco,1174,2,4,2.0,4,2,2,1,2,1,5.0,3.0,4,3,2,0,4.0,neutral or dissatisfied,2022-10-22
22434,Female,Loyal Customer,17,Personal Travel,Eco,208,3,1,3.0,3,5,3,5,5,2,5.0,3.0,3,4,5,0,0.0,neutral or dissatisfied,2022-10-24
43510,Female,Loyal Customer,43,Personal Travel,Eco,752,3,5,3.0,5,5,4,5,3,3,3.0,5.0,3,3,4,52,29.0,neutral or dissatisfied,2022-10-10
114090,Female,Loyal Customer,58,Personal Travel,Eco,2139,4,5,4.0,5,4,3,4,4,4,4.0,4.0,2,4,2,0,0.0,neutral or dissatisfied,2022-10-02
105420,Female,disloyal Customer,23,Business travel,Eco,452,5,0,5.0,1,1,5,1,1,4,5.0,5.0,3,5,1,54,44.0,satisfied,2022-11-01
102956,Male,Loyal Customer,57,Personal Travel,Eco,719,4,4,4.0,1,5,4,5,5,3,2.0,4.0,4,5,5,27,28.0,neutral or dissatisfied,2022-10-01
18510,Female,Loyal Customer,33,Business travel,Business,1561,1,1,1.0,1,1,5,3,4,4,4.0,3.0,5,4,2,0,0.0,satisfied,2022-10-24
14925,Female,Loyal Customer,49,Business travel,Eco Plus,315,4,4,4.0,4,2,2,1,4,4,4.0,4.0,2,4,2,0,8.0,satisfied,2022-10-20
118319,Female,Loyal Customer,36,Business travel,Business,3347,3,1,1.0,1,1,2,1,3,3,3.0,3.0,2,3,2,18,12.0,neutral or dissatisfied,2022-10-04
75460,Male,Loyal Customer,22,Personal Travel,Eco,2342,3,2,3.0,3,3,3,1,3,2,4.0,3.0,4,2,3,19,0.0,neutral or dissatisfied,2022-10-17
48492,Female,Loyal Customer,31,Business travel,Business,819,4,4,4.0,4,5,5,5,5,5,4.0,3.0,1,5,5,0,0.0,satisfied,2022-10-06
27809,Female,disloyal Customer,15,Business travel,Eco,1043,2,2,2.0,3,5,2,5,5,3,1.0,4.0,2,4,5,3,0.0,neutral or dissatisfied,2022-10-29
70594,Female,Loyal Customer,35,Business travel,Business,2611,4,5,4.0,4,4,4,4,3,3,4.0,5.0,4,3,4,109,120.0,satisfied,2022-10-26
30089,Female,Loyal Customer,67,Personal Travel,Eco,1192,4,5,4.0,1,2,4,5,5,5,4.0,3.0,5,5,5,18,24.0,neutral or dissatisfied,2022-10-01
58779,Male,disloyal Customer,37,Business travel,Business,1182,3,3,3.0,4,1,3,1,1,4,1.0,3.0,1,4,1,9,0.0,neutral or dissatisfied,2022-10-22
79659,,Loyal Customer,40,Business travel,Eco,349,1,4,4.0,4,1,1,1,1,3,5.0,3.0,3,3,1,0,1.0,neutral or dissatisfied,2022-10-15
110293,Female,disloyal Customer,34,Business travel,Business,883,3,4,4.0,3,5,4,2,5,5,4.0,5.0,4,5,5,0,0.0,neutral or dissatisfied,2022-10-12
48014,Male,Loyal Customer,40,Personal Travel,Eco Plus,550,4,3,4.0,2,2,4,2,2,5,1.0,4.0,3,4,2,23,20.0,neutral or dissatisfied,2022-10-07
96517,Female,Loyal Customer,47,Personal Travel,Eco,302,4,4,4.0,3,2,4,5,4,4,,4.0,4,4,4,23,31.0,satisfied,2022-10-14
64685,Male,disloyal Customer,41,Business travel,Business,354,1,1,1.0,2,1,1,1,1,3,3.0,4.0,4,4,1,0,0.0,neutral or dissatisfied,2022-10-21
64138,Male,Loyal Customer,39,Business travel,Business,1734,4,4,4.0,4,3,5,5,4,4,4.0,4.0,4,4,3,0,0.0,satisfied,2022-10-30
60373,Female,disloyal Customer,25,Business travel,Business,1452,3,5,3.0,4,3,3,3,3,4,4.0,5.0,5,5,3,9,23.0,neutral or dissatisfied,2022-10-10
14849,Male,Loyal Customer,41,Business travel,Business,296,0,0,0.0,3,2,5,3,4,4,4.0,4.0,4,4,3,0,0.0,satisfied,2022-10-12
28319,Female,Loyal Customer,38,Business travel,Business,2882,3,3,3.0,3,2,1,4,5,5,5.0,5.0,2,5,4,0,0.0,satisfied,2022-10-12
103012,Female,Loyal Customer,50,Business travel,Business,460,1,1,1.0,1,3,5,5,3,3,3.0,3.0,4,3,5,1,15.0,satisfied,2022-10-07
124114,Male,Loyal Customer,29,Business travel,Business,529,1,1,1.0,1,5,5,5,5,4,2.0,5.0,5,4,5,4,0.0,satisfied,2022-10-25
107794,Female,Loyal Customer,22,Personal Travel,Business,349,2,4,2.0,1,4,2,4,4,4,5.0,4.0,4,5,4,0,0.0,neutral or dissatisfied,2022-10-26
81983,Female,Loyal Customer,13,Business travel,Business,1522,1,1,1.0,1,1,1,1,1,3,5.0,3.0,1,4,1,0,0.0,neutral or dissatisfied,2022-10-01
53164,Male,Loyal Customer,54,Business travel,Business,612,3,3,3.0,3,5,2,3,5,5,5.0,5.0,4,5,3,8,0.0,satisfied,2022-10-06
82042,Male,Loyal Customer,21,Personal Travel,Eco,1454,2,2,2.0,3,5,2,5,5,2,3.0,3.0,1,3,5,0,0.0,neutral or dissatisfied,2022-10-22
72127,Male,Loyal Customer,28,Business travel,Eco,731,2,1,1.0,1,2,2,2,2,3,3.0,2.0,3,3,2,14,8.0,neutral or dissatisfied,2022-10-26
113046,Male,Loyal Customer,27,Business travel,Business,2076,3,3,3.0,3,4,4,4,4,3,4.0,4.0,4,5,4,0,1.0,satisfied,2022-10-07
1050,Female,Loyal Customer,69,Business travel,Eco,309,5,5,5.0,5,1,2,3,5,5,5.0,5.0,4,5,2,0,0.0,satisfied,2022-10-14
54886,Male,Loyal Customer,35,Personal Travel,Eco,775,2,3,2.0,4,4,2,4,4,4,4.0,3.0,4,1,4,1,0.0,neutral or dissatisfied,2022-10-07
125918,Female,Loyal Customer,60,Personal Travel,Eco,861,2,2,2.0,3,1,3,4,4,4,2.0,4.0,4,4,4,10,10.0,neutral or dissatisfied,2022-10-18
7467,Female,Loyal Customer,45,Business travel,Business,3334,2,4,2.0,2,4,5,5,4,4,4.0,4.0,3,4,5,51,48.0,satisfied,2022-10-28
78972,Female,Loyal Customer,57,Business travel,Business,2496,0,0,0.0,1,3,4,5,5,5,5.0,5.0,4,5,5,0,5.0,satisfied,2022-10-03
126625,Male,Loyal Customer,40,Business travel,Business,602,5,5,5.0,5,2,5,5,5,5,5.0,5.0,3,5,4,0,0.0,satisfied,2022-10-31
114501,Female,disloyal Customer,38,Business travel,Business,308,3,3,3.0,3,4,3,4,4,1,1.0,4.0,2,3,4,39,26.0,neutral or dissatisfied,2022-10-05
114813,Male,disloyal Customer,23,Business travel,Eco,446,2,4,2.0,1,4,2,4,4,4,2.0,4.0,5,5,4,4,0.0,neutral or dissatisfied,2022-11-01
32167,Male,disloyal Customer,39,Business travel,Business,216,2,2,2.0,3,3,2,3,3,2,1.0,4.0,2,4,3,0,0.0,neutral or dissatisfied,2022-10-29
68001,Female,Loyal Customer,52,Business travel,Business,3475,2,2,2.0,2,4,4,4,4,4,4.0,4.0,4,4,3,0,0.0,satisfied,2022-10-27
117052,Male,disloyal Customer,25,Business travel,Eco,646,2,1,2.0,2,4,2,3,4,4,4.0,3.0,2,2,4,13,1.0,neutral or dissatisfied,2022-10-13
8661,Female,Loyal Customer,48,Business travel,Business,2501,3,3,3.0,3,5,4,4,5,5,5.0,5.0,4,5,4,0,0.0,satisfied,2022-10-23
57165,Female,Loyal Customer,59,Business travel,Business,2227,5,5,5.0,5,2,4,4,4,4,4.0,4.0,3,4,4,30,15.0,satisfied,2022-11-01
78610,Male,Loyal Customer,25,Business travel,Business,1426,3,3,3.0,3,4,5,4,4,5,4.0,4.0,4,4,4,4,0.0,satisfied,2022-10-08
51058,Male,Loyal Customer,38,Personal Travel,Eco,190,2,4,2.0,3,4,2,4,4,3,2.0,4.0,4,5,4,0,0.0,neutral or dissatisfied,2022-11-01
92027,Male,Loyal Customer,46,Business travel,Business,1532,2,2,2.0,2,2,4,5,5,5,5.0,5.0,5,5,4,0,0.0,satisfied,2022-10-26
115534,Male,Loyal Customer,50,Business travel,Eco,308,2,1,1.0,1,2,2,2,2,3,2.0,2.0,2,3,2,18,12.0,neutral or dissatisfied,2022-10-18
9261,Female,Loyal Customer,38,Business travel,Eco Plus,157,4,4,4.0,4,4,4,4,4,3,3.0,1.0,1,4,4,0,0.0,satisfied,2022-10-12
61033,Female,Loyal Customer,53,Business travel,Business,1506,4,4,4.0,4,3,4,5,5,5,5.0,5.0,4,5,5,0,0.0,satisfied,2022-10-15
75930,Male,Loyal Customer,30,Business travel,Eco Plus,205,3,2,2.0,2,3,3,3,3,2,5.0,1.0,1,2,3,64,49.0,neutral or dissatisfied,2022-10-11
112142,Male,disloyal Customer,39,Business travel,Business,895,2,2,2.0,4,5,2,5,5,5,4.0,4.0,5,5,5,0,2.0,neutral or dissatisfied,2022-10-01
24518,Male,Loyal Customer,66,Personal Travel,Eco Plus,516,1,4,1.0,2,2,1,2,2,4,4.0,5.0,5,5,2,0,37.0,neutral or dissatisfied,2022-10-22
112524,Male,Loyal Customer,45,Personal Travel,Eco,909,3,5,3.0,2,1,3,1,1,4,4.0,5.0,3,4,1,0,0.0,neutral or dissatisfied,2022-10-27
101639,Female,disloyal Customer,25,Business travel,Business,1435,5,1,5.0,4,1,5,1,1,4,2.0,5.0,4,5,1,1,1.0,satisfied,2022-10-14
85018,Male,Loyal Customer,52,Business travel,Business,1190,2,4,4.0,4,1,4,3,2,2,2.0,2.0,1,2,4,0,6.0,neutral or dissatisfied,2022-10-06
106922,Male,Loyal Customer,64,Personal Travel,Eco,1259,4,5,4.0,2,2,4,2,2,4,5.0,3.0,4,4,2,20,5.0,satisfied,2022-10-26
32564,Female,disloyal Customer,50,Business travel,Eco,216,4,0,4.0,4,4,4,4,4,5,2.0,1.0,4,4,4,0,0.0,neutral or dissatisfied,2022-10-06
92242,Female,disloyal Customer,41,Business travel,Business,1670,2,1,1.0,2,3,2,4,3,3,5.0,3.0,4,5,3,0,0.0,neutral or dissatisfied,2022-10-17
73302,Male,Loyal Customer,26,Business travel,Business,3960,1,1,1.0,1,4,4,4,4,4,2.0,5.0,4,4,4,45,48.0,satisfied,2022-10-19
42267,Female,disloyal Customer,25,Business travel,Eco,817,4,4,4.0,3,3,4,3,3,2,3.0,2.0,3,3,3,0,0.0,neutral or dissatisfied,2022-10-03
121358,Female,disloyal Customer,44,Business travel,Business,1670,3,3,3.0,4,5,3,5,5,3,2.0,4.0,2,4,5,0,8.0,neutral or dissatisfied,2022-10-15
65655,Female,disloyal Customer,21,Business travel,Business,861,4,0,4.0,4,1,4,1,1,3,4.0,4.0,4,5,1,0,0.0,satisfied,2022-10-20
88062,Male,Loyal Customer,47,Business travel,Business,406,2,2,2.0,2,3,5,5,4,4,4.0,4.0,5,4,4,44,50.0,satisfied,2022-10-22
91330,Male,Loyal Customer,31,Business travel,Eco Plus,404,4,4,4.0,4,4,4,4,4,1,2.0,2.0,4,2,4,17,3.0,satisfied,2022-10-11
22031,Female,Loyal Customer,57,Personal Travel,Eco Plus,500,3,5,3.0,2,3,4,5,5,5,3.0,5.0,4,5,5,0,0.0,neutral or dissatisfied,2022-10-07
27921,Male,Loyal Customer,44,Personal Travel,Eco,689,3,5,3.0,4,5,3,2,5,4,4.0,5.0,3,5,5,0,0.0,neutral or dissatisfied,2022-10-28
51947,Male,Loyal Customer,45,Business travel,Business,3100,3,3,3.0,3,1,1,3,4,4,4.0,4.0,3,4,1,0,0.0,satisfied,2022-11-01
40017,Male,disloyal Customer,13,Business travel,Eco,525,2,2,2.0,3,3,2,3,3,3,1.0,3.0,1,4,3,0,0.0,neutral or dissatisfied,2022-10-14
76392,Male,Loyal Customer,60,Personal Travel,Eco,931,0,5,0.0,3,4,0,3,4,4,5.0,5.0,4,5,4,0,0.0,satisfied,2022-10-30
118486,Female,disloyal Customer,41,Business travel,Business,304,5,5,5.0,3,2,5,2,2,3,4.0,4.0,4,4,2,31,19.0,satisfied,2022-10-08
6012,Male,Loyal Customer,30,Business travel,Business,1896,4,1,1.0,1,4,4,4,4,2,2.0,3.0,4,2,4,81,72.0,neutral or dissatisfied,2022-10-22
30183,Female,Loyal Customer,51,Business travel,Eco Plus,261,5,4,4.0,4,4,3,1,5,5,5.0,5.0,1,5,1,0,0.0,satisfied,2022-10-04
41652,Female,Loyal Customer,61,Business travel,Eco,347,2,5,5.0,5,5,2,4,3,3,2.0,3.0,3,3,4,0,11.0,satisfied,2022-10-18
15138,Female,Loyal Customer,32,Business travel,Eco,1042,4,1,1.0,1,4,4,4,4,4,3.0,1.0,5,2,4,35,34.0,satisfied,2022-10-29
123589,Female,Loyal Customer,39,Personal Travel,Eco,1773,4,5,4.0,5,5,4,5,5,2,2.0,3.0,3,1,5,14,18.0,neutral or dissatisfied,2022-10-23
114534,Male,Loyal Customer,19,Personal Travel,Business,342,3,1,3.0,2,3,3,3,3,2,1.0,3.0,1,3,3,0,0.0,neutral or dissatisfied,2022-10-16
93076,Female,Loyal Customer,15,Personal Travel,Eco Plus,297,1,5,1.0,3,5,1,5,5,5,1.0,1.0,3,4,5,67,62.0,neutral or dissatisfied,2022-10-02
96963,Female,disloyal Customer,42,Business travel,Business,883,3,3,3.0,3,3,3,4,3,5,2.0,4.0,3,4,3,22,27.0,satisfied,2022-10-31
85494,Female,Loyal Customer,16,Personal Travel,Eco,332,2,5,2.0,1,3,2,4,3,5,4.0,5.0,4,4,3,40,52.0,neutral or dissatisfied,2022-10-10
72989,Male,Loyal Customer,19,Business travel,Business,2388,5,5,5.0,5,4,5,4,4,5,5.0,1.0,5,4,4,0,0.0,satisfied,2022-10-10
42357,Female,Loyal Customer,29,Personal Travel,Eco,748,2,5,2.0,2,5,2,1,5,4,2.0,4.0,3,5,5,0,0.0,neutral or dissatisfied,2022-10-26
23040,Female,disloyal Customer,27,Business travel,Eco Plus,1080,3,3,3.0,3,3,3,3,3,4,1.0,3.0,3,3,3,0,0.0,neutral or dissatisfied,2022-10-24
65420,Male,disloyal Customer,22,Business travel,Business,231,5,0,5.0,4,5,5,5,5,3,4.0,4.0,3,1,5,0,0.0,satisfied,2022-10-29
65045,Female,Loyal Customer,15,Personal Travel,Eco,551,3,4,3.0,3,4,3,4,4,1,1.0,4.0,2,1,4,3,0.0,neutral or dissatisfied,2022-10-31
37373,Male,disloyal Customer,11,Business travel,Eco,972,1,1,1.0,3,1,1,1,1,4,3.0,4.0,2,1,1,0,0.0,neutral or dissatisfied,2022-10-17
44405,Female,Loyal Customer,34,Personal Travel,Eco,265,4,3,4.0,3,5,4,5,5,2,5.0,2.0,1,4,5,0,23.0,neutral or dissatisfied,2022-10-04
16653,Female,disloyal Customer,26,Business travel,Eco,488,2,0,2.0,4,1,2,1,1,3,2.0,5.0,1,3,1,0,0.0,neutral or dissatisfied,2022-10-30
71655,Female,Loyal Customer,26,Personal Travel,Eco,1144,3,5,2.0,2,4,2,4,4,5,,5.0,3,5,4,0,0.0,neutral or dissatisfied,2022-10-02
77591,Male,Loyal Customer,53,Business travel,Business,2332,5,5,5.0,5,5,5,5,4,4,5.0,4.0,4,4,3,0,3.0,satisfied,2022-10-10
4585,Male,Loyal Customer,36,Business travel,Business,3024,4,2,2.0,2,1,3,4,4,4,4.0,4.0,4,4,1,30,13.0,neutral or dissatisfied,2022-10-16
108347,Male,Loyal Customer,32,Business travel,Business,1750,1,5,4.0,5,1,1,1,1,1,1.0,2.0,4,3,1,0,0.0,neutral or dissatisfied,2022-10-31
23400,Male,Loyal Customer,20,Personal Travel,Eco,483,2,3,2.0,3,5,2,5,5,5,2.0,3.0,2,4,5,91,82.0,neutral or dissatisfied,2022-10-04
31010,Female,Loyal Customer,35,Business travel,Business,2128,2,2,2.0,2,1,5,1,4,4,4.0,4.0,5,4,4,0,0.0,satisfied,2022-10-18
57513,Male,Loyal Customer,15,Personal Travel,Eco,235,2,4,2.0,1,1,2,1,1,3,3.0,4.0,4,4,1,1,10.0,neutral or dissatisfied,2022-10-25
20979,Male,Loyal Customer,52,Personal Travel,Eco,689,2,5,2.0,3,3,2,3,3,1,1.0,2.0,2,2,3,0,0.0,neutral or dissatisfied,2022-10-13
95841,Male,Loyal Customer,45,Business travel,Business,1852,1,1,1.0,1,5,5,4,2,2,2.0,2.0,5,2,5,0,0.0,satisfied,2022-10-11
114684,Female,disloyal Customer,24,Business travel,Eco,372,4,4,4.0,3,3,4,5,3,5,4.0,4.0,4,4,3,21,23.0,neutral or dissatisfied,2022-10-24
111667,Female,Loyal Customer,46,Business travel,Business,3705,4,3,3.0,3,4,3,4,4,4,4.0,4.0,4,4,4,4,0.0,neutral or dissatisfied,2022-10-24
20101,Male,disloyal Customer,26,Business travel,Eco,416,3,0,3.0,3,1,3,1,1,3,5.0,2.0,3,3,1,0,9.0,neutral or dissatisfied,2022-10-15
63212,Male,Loyal Customer,28,Business travel,Eco,337,4,1,1.0,1,4,4,4,4,1,3.0,2.0,3,2,4,3,0.0,neutral or dissatisfied,2022-10-03
8256,Male,Loyal Customer,11,Personal Travel,Eco,335,1,5,1.0,3,3,1,3,3,4,2.0,4.0,5,5,3,0,0.0,neutral or dissatisfied,2022-10-25
56161,Male,Loyal Customer,45,Business travel,Business,1400,5,5,5.0,5,2,5,5,4,4,4.0,4.0,3,4,5,4,9.0,satisfied,2022-10-20
121196,Male,Loyal Customer,62,Personal Travel,Eco,2521,4,5,4.0,3,4,1,1,5,3,5.0,4.0,1,4,1,7,30.0,neutral or dissatisfied,2022-10-08
23788,Female,Loyal Customer,34,Business travel,Business,374,3,3,3.0,3,4,4,1,4,4,4.0,4.0,5,4,3,0,0.0,satisfied,2022-10-06
129579,Male,Loyal Customer,51,Business travel,Business,308,2,2,2.0,2,4,5,5,4,4,4.0,4.0,3,4,5,17,8.0,satisfied,2022-10-31
127516,Female,Loyal Customer,58,Business travel,Eco Plus,575,1,4,4.0,4,2,3,4,2,2,1.0,2.0,2,2,4,14,16.0,neutral or dissatisfied,2022-10-07
18012,Male,Loyal Customer,22,Personal Travel,Eco,618,3,5,3.0,2,3,3,3,3,4,5.0,4.0,5,5,3,0,0.0,neutral or dissatisfied,2022-10-04
45561,Male,Loyal Customer,8,Business travel,Eco,1304,4,4,4.0,4,4,4,4,4,2,2.0,4.0,2,1,4,0,0.0,satisfied,2022-10-19
5228,Male,disloyal Customer,26,Business travel,Business,351,4,4,4.0,3,2,4,2,2,4,5.0,4.0,4,5,2,4,11.0,satisfied,2022-10-16
18311,Female,Loyal Customer,22,Personal Travel,Eco,549,4,0,4.0,3,3,4,1,3,3,2.0,5.0,4,5,3,15,3.0,neutral or dissatisfied,2022-10-10
59891,Female,Loyal Customer,21,Business travel,Business,3510,3,1,1.0,1,3,2,3,3,3,3.0,3.0,1,3,3,0,0.0,neutral or dissatisfied,2022-10-01
60651,Male,Loyal Customer,31,Business travel,Business,1620,3,2,4.0,2,3,3,3,3,2,2.0,2.0,3,4,3,0,0.0,neutral or dissatisfied,2022-10-13
51013,Female,Loyal Customer,44,Personal Travel,Eco,326,2,0,2.0,2,2,3,5,1,1,2.0,1.0,2,1,5,0,0.0,neutral or dissatisfied,2022-10-20
91746,Male,Loyal Customer,27,Business travel,Business,588,2,2,2.0,2,5,5,5,5,5,2.0,5.0,3,5,5,0,0.0,satisfied,2022-10-27
4233,Female,Loyal Customer,47,Business travel,Business,1020,3,1,3.0,3,2,4,5,5,5,5.0,5.0,3,5,5,0,0.0,satisfied,2022-11-01
14187,Male,Loyal Customer,24,Business travel,Business,2903,3,3,3.0,3,3,3,3,3,4,2.0,2.0,2,2,3,0,0.0,neutral or dissatisfied,2022-10-18
19669,Male,Loyal Customer,67,Business travel,Business,2659,1,1,1.0,1,1,3,3,1,1,1.0,1.0,1,1,1,0,0.0,neutral or dissatisfied,2022-10-12
31147,Male,Loyal Customer,32,Business travel,Business,3037,2,2,2.0,2,4,4,4,4,4,1.0,1.0,3,5,4,0,0.0,satisfied,2022-10-27
128842,Female,Loyal Customer,58,Personal Travel,Eco,2475,4,4,4.0,3,4,1,1,3,3,3.0,4.0,1,3,1,29,10.0,satisfied,2022-10-16
27562,Male,Loyal Customer,12,Personal Travel,Eco,978,4,5,4.0,5,1,4,1,1,3,4.0,4.0,5,4,1,0,0.0,neutral or dissatisfied,2022-10-19
775,Female,Loyal Customer,56,Business travel,Business,2568,3,1,1.0,1,5,3,2,3,3,3.0,3.0,3,3,4,0,0.0,neutral or dissatisfied,2022-10-23
14070,Female,Loyal Customer,58,Personal Travel,Business,371,3,5,5.0,1,2,3,5,1,1,5.0,1.0,3,1,3,0,0.0,neutral or dissatisfied,2022-10-08
106007,Male,disloyal Customer,24,Business travel,Eco,791,3,3,3.0,3,5,3,5,5,2,1.0,3.0,1,3,5,39,6.0,neutral or dissatisfied,2022-10-05
116004,Male,Loyal Customer,68,Personal Travel,Eco,480,3,4,3.0,3,5,3,5,5,2,4.0,3.0,4,4,5,7,6.0,neutral or dissatisfied,2022-10-19
68886,Male,Loyal Customer,46,Business travel,Business,1786,1,1,1.0,1,3,5,5,5,5,5.0,5.0,5,5,3,1,7.0,satisfied,2022-10-03
72413,Male,Loyal Customer,43,Business travel,Business,1849,2,2,2.0,2,2,4,4,3,3,4.0,3.0,3,3,4,0,7.0,satisfied,2022-10-18
73604,Female,Loyal Customer,55,Business travel,Business,3634,0,4,0.0,4,4,5,5,4,4,1.0,1.0,4,4,3,0,0.0,satisfied,2022-10-02
48415,Female,Loyal Customer,54,Personal Travel,Business,844,4,5,5.0,2,2,4,4,3,3,5.0,3.0,3,3,4,0,0.0,neutral or dissatisfied,2022-10-10
105708,Female,Loyal Customer,42,Business travel,Business,3094,5,5,5.0,5,4,4,5,2,2,2.0,2.0,5,2,3,0,10.0,satisfied,2022-10-02
65579,Female,Loyal Customer,47,Business travel,Business,3465,1,3,3.0,3,3,3,4,1,1,1.0,1.0,1,1,4,13,15.0,neutral or dissatisfied,2022-10-04
73058,Female,disloyal Customer,29,Business travel,Business,1035,1,1,1.0,1,5,1,5,5,4,4.0,4.0,4,4,5,0,0.0,neutral or dissatisfied,2022-10-15
65585,Female,Loyal Customer,36,Business travel,Eco,237,2,4,4.0,4,2,2,2,2,2,4.0,2.0,1,1,2,0,0.0,neutral or dissatisfied,2022-10-22
8346,Female,Loyal Customer,50,Business travel,Business,3175,4,4,4.0,4,2,4,5,5,5,5.0,5.0,4,5,3,0,0.0,satisfied,2022-10-06
79678,Female,Loyal Customer,31,Personal Travel,Eco,760,4,2,4.0,4,1,4,1,1,3,4.0,4.0,4,4,1,17,27.0,neutral or dissatisfied,2022-10-07
112483,Male,Loyal Customer,13,Personal Travel,Eco,853,1,4,1.0,4,4,1,4,4,5,2.0,5.0,4,4,4,105,122.0,neutral or dissatisfied,2022-10-19
31698,Male,disloyal Customer,24,Business travel,Eco,446,3,4,4.0,4,5,4,5,5,4,4.0,4.0,2,4,5,0,0.0,neutral or dissatisfied,2022-10-13
74030,Female,Loyal Customer,60,Business travel,Business,1071,2,2,2.0,2,4,5,1,3,3,4.0,3.0,5,3,1,0,0.0,satisfied,2022-10-28
124931,Female,Loyal Customer,42,Personal Travel,Eco,728,2,3,2.0,3,5,3,4,3,3,2.0,3.0,3,3,2,0,3.0,neutral or dissatisfied,2022-10-19
73924,Female,Loyal Customer,57,Business travel,Business,2585,2,2,2.0,2,4,4,4,4,3,5.0,4.0,4,3,4,0,0.0,satisfied,2022-10-23
76073,Female,Loyal Customer,42,Business travel,Business,707,2,2,4.0,2,2,5,4,3,3,4.0,3.0,4,3,3,27,11.0,satisfied,2022-10-14
104623,Male,disloyal Customer,20,Business travel,Eco,861,0,0,0.0,5,2,0,2,2,4,3.0,5.0,3,5,2,0,0.0,satisfied,2022-10-02
58523,Female,Loyal Customer,51,Personal Travel,Eco,719,3,5,2.0,4,3,5,4,4,4,,4.0,4,4,3,19,0.0,neutral or dissatisfied,2022-10-18
